C	inner_split	ndcg_ohc
1	0	0.6802781911323383
1	1	0.6674688293711032
1	2	0.7333324939262571
4	0	0.6929649370678516
4	1	0.6616133579774106
4	2	0.738423103336058
16	0	0.6953714318937009
16	1	0.6707095326461491
16	2	0.7459188564052666
32	0	0.7018999188621011
32	1	0.6773520045072067
32	2	0.7383829154666772
64	0	0.6897477531923133
64	1	0.6780832598949321
64	2	0.7387955581505359
