k	top_acc_perc
1	20.0
2	30.0
3	36.0
4	48.0
5	52.0
6	57.99999999999999
7	57.99999999999999
8	60.0
9	62.0
10	64.0
11	64.0
12	64.0
13	66.0
14	68.0
15	70.0
16	72.0
17	74.0
18	76.0
19	76.0
20	76.0
21	76.0
22	78.0
23	78.0
24	80.0
25	80.0
26	80.0
27	82.0
28	82.0
29	82.0
30	84.0
31	84.0
32	84.0
33	84.0
34	84.0
35	84.0
36	84.0
37	84.0
38	84.0
39	84.0
40	84.0
41	86.0
42	88.0
43	88.0
44	88.0
45	88.0
46	88.0
47	88.0
48	88.0
49	88.0
50	90.0
