C	inner_split	ndcg_ohc
1	0	0.7109330188755735
1	1	0.6820814889830378
1	2	0.723434072207947
4	0	0.71785042505722
4	1	0.6871874634849343
4	2	0.7301107011035807
16	0	0.7181114493196551
16	1	0.6921646614737161
16	2	0.7300750538742453
32	0	0.7121303294820214
32	1	0.6860211639890517
32	2	0.7314670422291885
64	0	0.7072007158380599
64	1	0.6777196055557635
64	2	0.7287658217603551
128	0	0.6931752043786638
128	1	0.6692358961441213
128	2	0.7180745185142843
256	0	0.6568146342305808
256	1	0.6488709761044581
256	2	0.6830165979593246
