C	inner_split	ndcg_ohc
1	0	0.707640802884353
1	1	0.6927089885305078
1	2	0.7231888236556352
4	0	0.7135054205241852
4	1	0.6947016951838143
4	2	0.7250283489752898
16	0	0.7235747437196194
16	1	0.7021759506293034
16	2	0.7308448626754245
32	0	0.7304767659669898
32	1	0.6938097589632952
32	2	0.7295523615952894
64	0	0.7120869558181597
64	1	0.6848835463919695
64	2	0.7292871189865182
128	0	0.6959076042537159
128	1	0.6567098961720617
128	2	0.7257348030710216
256	0	0.6777014198931531
256	1	0.639957482185921
256	2	0.7003995720011157
