C	inner_split	ndcg_ohc
1	0	0.6893741288352851
1	1	0.7337399701914106
1	2	0.7522527975142178
4	0	0.6890466265046153
4	1	0.733743398026761
4	2	0.7525462528454175
16	0	0.6878277122373109
16	1	0.7365719141718641
16	2	0.756436166671523
32	0	0.679388257419264
32	1	0.7337135078394228
32	2	0.7504154411910422
64	0	0.6838552730252563
64	1	0.7083008723923859
64	2	0.7334988415751327
128	0	0.6728692046521171
128	1	0.6928599596307444
128	2	0.72599730108669
256	0	0.6339836922533963
256	1	0.6667550523351032
256	2	0.7073443214315887
