C	inner_split	ndcg_ohc
1	0	0.7646314155519368
1	1	0.6956188318467711
1	2	0.7176712333748885
4	0	0.769704671470777
4	1	0.6903366015295577
4	2	0.7211394803146324
16	0	0.7611976810325287
16	1	0.6801079091211653
16	2	0.7251329665772844
32	0	0.7598777018856451
32	1	0.6786406959638734
32	2	0.7209206871793163
64	0	0.747280584668045
64	1	0.6661920851340761
64	2	0.7097928084403617
128	0	0.7283258186464664
128	1	0.6373886688073206
128	2	0.714409586984073
256	0	0.7066077243960843
256	1	0.6077482137259635
256	2	0.6866485740763233
