k	top_acc_perc
1	18.0
2	30.0
3	40.0
4	44.0
5	50.0
6	54.0
7	56.00000000000001
8	56.00000000000001
9	60.0
10	64.0
11	66.0
12	68.0
13	72.0
14	72.0
15	72.0
16	72.0
17	72.0
18	72.0
19	74.0
20	74.0
21	76.0
22	78.0
23	80.0
24	82.0
25	82.0
26	84.0
27	84.0
28	84.0
29	84.0
30	84.0
31	84.0
32	84.0
33	86.0
34	86.0
35	86.0
36	86.0
37	86.0
38	86.0
39	86.0
40	86.0
41	86.0
42	86.0
43	86.0
44	86.0
45	86.0
46	86.0
47	88.0
48	88.0
49	88.0
50	88.0
