C	inner_split	ndcg_ohc
1	0	0.6729687585035414
1	1	0.6870607891834979
1	2	0.6920811783327961
4	0	0.6788368046439471
4	1	0.6869308985301225
4	2	0.6955659191088561
16	0	0.6758212704414988
16	1	0.6831117703027877
16	2	0.699809993678869
32	0	0.6701997737284758
32	1	0.6770971193994447
32	2	0.6924027121526359
64	0	0.666697106526977
64	1	0.6718193309212309
64	2	0.6857168670570525
128	0	0.6376710188326095
128	1	0.6456349565901957
128	2	0.6752650162796795
256	0	0.6375893302990342
256	1	0.6274949454291451
256	2	0.6606530544631977
