C	inner_split	ndcg_ohc
1	0	0.6977728737946299
1	1	0.6928658482125168
1	2	0.7190237148458106
4	0	0.7086064024760442
4	1	0.693752427769676
4	2	0.7247356462527682
16	0	0.7229100407221429
16	1	0.6970804473893034
16	2	0.7300967440813902
32	0	0.7141945139518289
32	1	0.6924243624083207
32	2	0.7305694228302619
64	0	0.7089492546043096
64	1	0.6699200863153244
64	2	0.7147473437951373
128	0	0.6903881013919111
128	1	0.6614232955196971
128	2	0.7114946102284199
256	0	0.6488769577782715
256	1	0.6386391410350548
256	2	0.6751937667181976
