C	inner_split	ndcg_ohc
1	0	0.7063169461326656
1	1	0.7114440688285182
1	2	0.7305165288897166
4	0	0.7038041301061287
4	1	0.7105202562257544
4	2	0.7464406172016562
16	0	0.7093048491858406
16	1	0.701593959742993
16	2	0.7350704098419085
32	0	0.7001636880154662
32	1	0.697221819509981
32	2	0.7322481065949425
64	0	0.7036588292675758
64	1	0.6727053844560258
64	2	0.7331141713304089
128	0	0.6952698617950475
128	1	0.6589191988751717
128	2	0.7149073079172689
256	0	0.674720751693351
256	1	0.635329787721057
256	2	0.6769608121093034
