C	inner_split	ndcg_ohc
1	0	0.6957399751097947
1	1	0.7006662453798876
1	2	0.7164965890877968
4	0	0.6968576841603923
4	1	0.6963952891459707
4	2	0.7217998702141352
16	0	0.6959742375718149
16	1	0.6906353540253665
16	2	0.727232325383034
32	0	0.7035694558874103
32	1	0.6851551523848404
32	2	0.7168488918508312
64	0	0.6858887579017776
64	1	0.6846603457087757
64	2	0.7089184147427449
128	0	0.6592205933427522
128	1	0.6781645440202934
128	2	0.6971478781869263
256	0	0.638234275861149
256	1	0.6439036272495875
256	2	0.6619101785737216
