C	inner_split	ndcg_ohc
1	0	0.7147817969930328
1	1	0.7252309243961103
1	2	0.7369403601619409
4	0	0.7173554264241903
4	1	0.7104895487482906
4	2	0.7405533216244721
16	0	0.7267345242410257
16	1	0.7102410273722225
16	2	0.7385653300915953
32	0	0.7132563183624023
32	1	0.7123025222314332
32	2	0.7367633735427161
64	0	0.7078655157684488
64	1	0.7017562958204119
64	2	0.7227432483388646
128	0	0.6815201646691198
128	1	0.6858271629240325
128	2	0.7115120024206979
256	0	0.6518693911929547
256	1	0.6646733156079553
256	2	0.6715292674878859
