C	inner_split	ndcg_ohc
1	0	0.7023730772095217
1	1	0.7176841694588734
1	2	0.7267150786176783
4	0	0.70574335883251
4	1	0.7139845187749627
4	2	0.7298361448319706
16	0	0.7068395637329951
16	1	0.7075539930095968
16	2	0.7298307604885191
32	0	0.7040579614807053
32	1	0.7063864589228726
32	2	0.7276509055368865
64	0	0.7000587269404641
64	1	0.6922453611105792
64	2	0.7248468707792081
128	0	0.6921688876719477
128	1	0.705385589298155
128	2	0.7315419762325426
256	0	0.6708090624660293
256	1	0.6461334198724686
256	2	0.6636116203152028
