C	inner_split	ndcg_ohc
1	0	0.732404442610935
1	1	0.7085597010343518
1	2	0.7435171131655569
4	0	0.7339879928923555
4	1	0.7146531342624529
4	2	0.7418439788144077
16	0	0.7313579318798745
16	1	0.7165796454510557
16	2	0.7435607968028263
32	0	0.724679395635736
32	1	0.7117502573367447
32	2	0.7362327108306588
64	0	0.7134294292814528
64	1	0.6967653484825687
64	2	0.7248185031751593
128	0	0.6934841211225231
128	1	0.6823009830951884
128	2	0.7158758435724105
256	0	0.6475764268609482
256	1	0.6641278608067807
256	2	0.7037566207315483
