k	top_acc_perc
1	16.0
2	26.0
3	34.0
4	40.0
5	46.0
6	50.0
7	52.0
8	52.0
9	56.00000000000001
10	60.0
11	60.0
12	62.0
13	62.0
14	62.0
15	64.0
16	64.0
17	64.0
18	64.0
19	66.0
20	68.0
21	68.0
22	70.0
23	72.0
24	72.0
25	74.0
26	74.0
27	74.0
28	74.0
29	74.0
30	74.0
31	76.0
32	76.0
33	78.0
34	78.0
35	78.0
36	78.0
37	78.0
38	78.0
39	78.0
40	78.0
41	78.0
42	80.0
43	80.0
44	80.0
45	80.0
46	80.0
47	80.0
48	80.0
49	80.0
50	82.0
