C	inner_split	ndcg_ohc
1	0	0.7324110551224788
1	1	0.6987296749100055
1	2	0.7037432865715019
4	0	0.7334359061069303
4	1	0.7015128359778094
4	2	0.7108598211463654
16	0	0.7388785735924869
16	1	0.69796295367241
16	2	0.714142511814033
32	0	0.7268320145062616
32	1	0.6925864509553945
32	2	0.711608057639557
64	0	0.7156555034920604
64	1	0.6805868952259957
64	2	0.7180363091224902
128	0	0.7088896987964523
128	1	0.6693542209788053
128	2	0.7081340310073025
256	0	0.6798057779969391
256	1	0.6534882484196617
256	2	0.6817695245399883
