sample_id	sequence_length	dataset	k	n_top_k	n_trees
0	54	EA_positive	1	22.85	1
0	54	EA_positive	5	43.50000000000001	1
0	54	EA_positive	10	47.000000000000014	1
0	54	EA_positive	20	52.000000000000014	1
0	54	EA_positive	1	26.75	2
0	54	EA_positive	5	45.0	2
0	54	EA_positive	10	48.0	2
0	54	EA_positive	20	52.0	2
0	54	EA_positive	1	24.75	3
0	54	EA_positive	5	45.0	3
0	54	EA_positive	10	49.0	3
0	54	EA_positive	20	52.0	3
0	54	EA_positive	1	25.75	4
0	54	EA_positive	5	44.0	4
0	54	EA_positive	10	49.0	4
0	54	EA_positive	20	52.0	4
0	54	EA_positive	1	29.75	5
0	54	EA_positive	5	44.0	5
0	54	EA_positive	10	49.0	5
0	54	EA_positive	20	52.0	5
0	54	EA_positive	1	26.75	6
0	54	EA_positive	5	44.0	6
0	54	EA_positive	10	49.0	6
0	54	EA_positive	20	52.0	6
0	54	EA_positive	1	27.75	7
0	54	EA_positive	5	44.0	7
0	54	EA_positive	10	48.0	7
0	54	EA_positive	20	52.0	7
0	54	EA_positive	1	25.75	8
0	54	EA_positive	5	44.0	8
0	54	EA_positive	10	48.0	8
0	54	EA_positive	20	52.0	8
0	54	EA_positive	1	24.75	9
0	54	EA_positive	5	44.0	9
0	54	EA_positive	10	48.0	9
0	54	EA_positive	20	52.0	9
0	54	EA_positive	1	25.75	10
0	54	EA_positive	5	44.0	10
0	54	EA_positive	10	48.0	10
0	54	EA_positive	20	52.0	10
0	54	EA_positive	1	25.75	11
0	54	EA_positive	5	44.0	11
0	54	EA_positive	10	48.0	11
0	54	EA_positive	20	52.0	11
0	54	EA_positive	1	25.75	12
0	54	EA_positive	5	44.5	12
0	54	EA_positive	10	48.0	12
0	54	EA_positive	20	52.0	12
0	54	EA_positive	1	25.75	13
0	54	EA_positive	5	45.0	13
0	54	EA_positive	10	48.0	13
0	54	EA_positive	20	52.0	13
0	54	EA_positive	1	25.75	14
0	54	EA_positive	5	45.0	14
0	54	EA_positive	10	48.0	14
0	54	EA_positive	20	52.0	14
0	54	EA_positive	1	25.75	15
0	54	EA_positive	5	45.0	15
0	54	EA_positive	10	48.0	15
0	54	EA_positive	20	52.0	15
0	54	EA_positive	1	25.75	16
0	54	EA_positive	5	45.0	16
0	54	EA_positive	10	48.0	16
0	54	EA_positive	20	52.0	16
0	54	EA_positive	1	25.75	17
0	54	EA_positive	5	45.0	17
0	54	EA_positive	10	48.0	17
0	54	EA_positive	20	52.0	17
0	54	EA_positive	1	25.75	18
0	54	EA_positive	5	44.0	18
0	54	EA_positive	10	48.0	18
0	54	EA_positive	20	52.0	18
0	54	EA_positive	1	26.75	19
0	54	EA_positive	5	44.0	19
0	54	EA_positive	10	48.0	19
0	54	EA_positive	20	52.0	19
0	54	EA_positive	1	26.75	20
0	54	EA_positive	5	44.0	20
0	54	EA_positive	10	48.0	20
0	54	EA_positive	20	52.0	20
0	54	EA_positive	1	26.75	21
0	54	EA_positive	5	45.0	21
0	54	EA_positive	10	48.0	21
0	54	EA_positive	20	52.0	21
0	54	EA_positive	1	26.75	22
0	54	EA_positive	5	44.0	22
0	54	EA_positive	10	48.0	22
0	54	EA_positive	20	52.0	22
0	54	EA_positive	1	26.75	23
0	54	EA_positive	5	44.0	23
0	54	EA_positive	10	48.0	23
0	54	EA_positive	20	53.0	23
0	54	EA_positive	1	26.75	24
0	54	EA_positive	5	45.0	24
0	54	EA_positive	10	48.0	24
0	54	EA_positive	20	53.0	24
0	54	EA_positive	1	26.75	25
0	54	EA_positive	5	45.0	25
0	54	EA_positive	10	48.0	25
0	54	EA_positive	20	53.0	25
0	54	EA_positive	1	26.75	26
0	54	EA_positive	5	46.0	26
0	54	EA_positive	10	48.0	26
0	54	EA_positive	20	53.0	26
0	54	EA_positive	1	26.75	27
0	54	EA_positive	5	45.0	27
0	54	EA_positive	10	48.0	27
0	54	EA_positive	20	53.0	27
0	54	EA_positive	1	26.75	28
0	54	EA_positive	5	45.0	28
0	54	EA_positive	10	48.0	28
0	54	EA_positive	20	53.0	28
0	54	EA_positive	1	26.75	29
0	54	EA_positive	5	45.0	29
0	54	EA_positive	10	48.0	29
0	54	EA_positive	20	53.0	29
0	54	EA_positive	1	26.75	30
0	54	EA_positive	5	45.0	30
0	54	EA_positive	10	48.0	30
0	54	EA_positive	20	53.0	30
0	54	EA_positive	1	25.75	31
0	54	EA_positive	5	45.0	31
0	54	EA_positive	10	48.0	31
0	54	EA_positive	20	52.0	31
0	54	EA_positive	1	26.75	32
0	54	EA_positive	5	45.0	32
0	54	EA_positive	10	48.0	32
0	54	EA_positive	20	52.0	32
1	41	positive	1	17.5	1
1	41	positive	5	24.0	1
1	41	positive	10	32.0	1
1	41	positive	20	36.0	1
1	41	positive	1	17.5	2
1	41	positive	5	25.0	2
1	41	positive	10	34.0	2
1	41	positive	20	36.0	2
1	41	positive	1	15.5	3
1	41	positive	5	26.0	3
1	41	positive	10	34.0	3
1	41	positive	20	37.0	3
1	41	positive	1	16.5	4
1	41	positive	5	25.0	4
1	41	positive	10	34.0	4
1	41	positive	20	37.0	4
1	41	positive	1	18.5	5
1	41	positive	5	26.0	5
1	41	positive	10	34.0	5
1	41	positive	20	36.0	5
1	41	positive	1	18.5	6
1	41	positive	5	25.0	6
1	41	positive	10	34.0	6
1	41	positive	20	36.0	6
1	41	positive	1	18.5	7
1	41	positive	5	25.0	7
1	41	positive	10	34.0	7
1	41	positive	20	36.0	7
1	41	positive	1	18.5	8
1	41	positive	5	25.0	8
1	41	positive	10	32.0	8
1	41	positive	20	36.0	8
1	41	positive	1	18.5	9
1	41	positive	5	24.0	9
1	41	positive	10	32.0	9
1	41	positive	20	36.0	9
1	41	positive	1	18.5	10
1	41	positive	5	25.0	10
1	41	positive	10	31.0	10
1	41	positive	20	36.0	10
1	41	positive	1	18.5	11
1	41	positive	5	25.0	11
1	41	positive	10	31.0	11
1	41	positive	20	37.0	11
1	41	positive	1	18.5	12
1	41	positive	5	25.0	12
1	41	positive	10	31.0	12
1	41	positive	20	36.0	12
1	41	positive	1	18.5	13
1	41	positive	5	25.0	13
1	41	positive	10	31.0	13
1	41	positive	20	37.0	13
1	41	positive	1	18.5	14
1	41	positive	5	25.0	14
1	41	positive	10	33.0	14
1	41	positive	20	37.0	14
1	41	positive	1	18.5	15
1	41	positive	5	25.0	15
1	41	positive	10	32.0	15
1	41	positive	20	37.0	15
1	41	positive	1	18.5	16
1	41	positive	5	25.0	16
1	41	positive	10	33.0	16
1	41	positive	20	37.0	16
1	41	positive	1	18.5	17
1	41	positive	5	25.0	17
1	41	positive	10	32.0	17
1	41	positive	20	36.0	17
1	41	positive	1	18.5	18
1	41	positive	5	26.0	18
1	41	positive	10	32.0	18
1	41	positive	20	36.0	18
1	41	positive	1	18.5	19
1	41	positive	5	26.0	19
1	41	positive	10	32.0	19
1	41	positive	20	36.0	19
1	41	positive	1	18.5	20
1	41	positive	5	26.0	20
1	41	positive	10	32.0	20
1	41	positive	20	36.0	20
1	41	positive	1	18.5	21
1	41	positive	5	26.0	21
1	41	positive	10	32.0	21
1	41	positive	20	36.0	21
1	41	positive	1	18.5	22
1	41	positive	5	26.0	22
1	41	positive	10	32.0	22
