sample_id	sequence_length	dataset	k	n_top_k	tree_index
1	41	positive	10	31.0	6
1	41	positive	20	38.0	6
1	41	positive	1	20.0	7
1	41	positive	5	25.0	7
1	41	positive	10	30.0	7
1	41	positive	20	38.0	7
1	41	positive	1	17.5	8
1	41	positive	5	26.0	8
1	41	positive	10	31.0	8
1	41	positive	20	38.0	8
1	41	positive	1	16.5	9
1	41	positive	5	24.0	9
1	41	positive	10	33.0	9
1	41	positive	20	37.0	9
1	41	positive	1	16.5	10
1	41	positive	5	25.0	10
1	41	positive	10	30.0	10
1	41	positive	20	36.0	10
1	41	positive	1	16.5	11
1	41	positive	5	27.0	11
1	41	positive	10	31.0	11
1	41	positive	20	36.0	11
1	41	positive	1	18.5	12
1	41	positive	5	26.0	12
1	41	positive	10	32.0	12
1	41	positive	20	38.0	12
1	41	positive	1	19.5	13
1	41	positive	5	26.0	13
1	41	positive	10	32.0	13
1	41	positive	20	38.0	13
1	41	positive	1	18.5	14
1	41	positive	5	26.0	14
1	41	positive	10	33.0	14
1	41	positive	20	38.0	14
1	41	positive	1	20.0	15
1	41	positive	5	28.0	15
1	41	positive	10	32.0	15
1	41	positive	20	38.0	15
1	41	positive	1	16.5	16
1	41	positive	5	26.0	16
1	41	positive	10	33.0	16
1	41	positive	20	36.0	16
1	41	positive	1	16.5	17
1	41	positive	5	23.0	17
1	41	positive	10	31.0	17
1	41	positive	20	37.0	17
1	41	positive	1	18.5	18
1	41	positive	5	24.0	18
1	41	positive	10	31.0	18
1	41	positive	20	37.0	18
1	41	positive	1	20.5	19
1	41	positive	5	26.0	19
1	41	positive	10	32.0	19
1	41	positive	20	38.0	19
1	41	positive	1	19.5	20
1	41	positive	5	27.0	20
1	41	positive	10	32.0	20
1	41	positive	20	36.0	20
1	41	positive	1	18.5	21
1	41	positive	5	26.0	21
1	41	positive	10	35.0	21
1	41	positive	20	37.0	21
1	41	positive	1	16.5	22
1	41	positive	5	24.0	22
1	41	positive	10	31.0	22
1	41	positive	20	37.0	22
1	41	positive	1	17.5	23
1	41	positive	5	27.0	23
1	41	positive	10	34.0	23
1	41	positive	20	37.0	23
1	41	positive	1	15.5	24
1	41	positive	5	26.0	24
1	41	positive	10	32.0	24
1	41	positive	20	38.0	24
1	41	positive	1	18.5	25
1	41	positive	5	25.0	25
1	41	positive	10	33.0	25
1	41	positive	20	38.0	25
1	41	positive	1	18.5	26
1	41	positive	5	26.5	26
1	41	positive	10	31.0	26
1	41	positive	20	37.0	26
1	41	positive	1	15.5	27
1	41	positive	5	26.0	27
1	41	positive	10	32.0	27
1	41	positive	20	37.0	27
1	41	positive	1	18.0	28
1	41	positive	5	26.0	28
1	41	positive	10	31.0	28
1	41	positive	20	36.0	28
1	41	positive	1	16.5	29
1	41	positive	5	27.0	29
1	41	positive	10	31.0	29
1	41	positive	20	35.0	29
1	41	positive	1	17.5	30
1	41	positive	5	28.0	30
1	41	positive	10	34.0	30
1	41	positive	20	38.0	30
1	41	positive	1	19.5	31
1	41	positive	5	26.0	31
1	41	positive	10	31.0	31
1	41	positive	20	38.0	31
2	72	EA_positive	1	29.0	0
2	72	EA_positive	5	56.5	0
2	72	EA_positive	10	63.0	0
2	72	EA_positive	20	68.0	0
2	72	EA_positive	1	31.5	1
2	72	EA_positive	5	54.5	1
2	72	EA_positive	10	61.5	1
2	72	EA_positive	20	67.0	1
2	72	EA_positive	1	30.5	2
2	72	EA_positive	5	55.5	2
2	72	EA_positive	10	61.0	2
2	72	EA_positive	20	67.0	2
2	72	EA_positive	1	32.5	3
2	72	EA_positive	5	56.5	3
2	72	EA_positive	10	62.0	3
2	72	EA_positive	20	68.0	3
2	72	EA_positive	1	31.5	4
2	72	EA_positive	5	55.5	4
2	72	EA_positive	10	63.0	4
2	72	EA_positive	20	67.0	4
2	72	EA_positive	1	34.5	5
2	72	EA_positive	5	54.5	5
2	72	EA_positive	10	60.0	5
2	72	EA_positive	20	68.0	5
2	72	EA_positive	1	33.0	6
2	72	EA_positive	5	55.5	6
2	72	EA_positive	10	63.0	6
2	72	EA_positive	20	69.0	6
2	72	EA_positive	1	29.5	7
