k	top_acc_perc__casmi	top_acc_perc__csi
1	18.0	20.38888888888889
2	22.0	26.292929292929294
3	32.0	33.196969696969695
4	40.0	41.101010101010104
5	46.0	45.505050505050505
6	48.0	49.90909090909091
7	54.0	53.979797979797986
8	57.99999999999999	58.05050505050505
9	62.0	62.121212121212125
10	66.0	65.63636363636364
11	66.0	65.81818181818183
12	66.0	66.00000000000001
13	66.0	66.00000000000001
14	66.0	66.00000000000001
15	66.0	66.00000000000001
16	68.0	68.00000000000001
17	68.0	68.20000000000002
18	68.0	68.65000000000002
19	70.0	71.10000000000002
20	70.0	71.55000000000003
21	70.0	73.00000000000003
22	76.0	74.45000000000003
23	76.0	74.90000000000003
24	76.0	75.35000000000004
25	76.0	75.80000000000004
26	76.0	76.00000000000004
27	76.0	76.00000000000004
28	76.0	76.00000000000004
29	76.0	76.33333333333337
30	76.0	76.6666666666667
31	76.0	77.00000000000003
32	78.0	77.33333333333336
33	78.0	77.66666666666669
34	78.0	78.00000000000001
35	78.0	78.00000000000001
36	78.0	78.00000000000001
37	80.0	80.00000000000001
38	80.0	80.00000000000001
39	80.0	80.00000000000001
40	80.0	80.00000000000001
41	80.0	80.00000000000001
42	80.0	80.00000000000001
43	80.0	80.00000000000001
44	80.0	80.00000000000001
45	80.0	80.00000000000001
46	82.0	82.00000000000001
47	82.0	82.00000000000001
48	82.0	82.00000000000001
49	82.0	82.00000000000001
50	82.0	82.00000000000001
