spectrum	rt	pref_value
EAX067202	5.1	-0.12423572136946337
EAX018502	8.3	-0.024440694224575843
EAX070302	4.9	-0.12152569880969022
EAX260302	7.4	-0.028070672643904004
EAX064402	7.5	0.012538633873740601
EAX015002	7.2	-0.16927684960510403
EAX018302	6.9	0.08390103060735576
EAX027002	2.4	-0.008913003076578718
EAX293302	4.4	-0.23991412835799597
EAX285402	5.7	-0.19196768916519558
EAX272002	2.8	-0.22079315419746148
EAX026102	1.9	-0.09039861402057481
EAX266702	10.0	0.03143351530837135
EAX270402	9.6	0.040373386461895144
EAX270902	10.6	-0.01936907094975826
EAX070102	4.1	-0.2610628744636152
EAX253602	7.5	-0.13507944446250608
EAX000402	6.2	-0.0581258480914828
EAX030102	9.5	0.030424752676262656
EAX005802	9.3	-0.004651757633103992
EAX285202	10.7	0.051822584079463496
EAX273702	4.6	-0.19073447519211495
EAX065402	5.1	-0.2253133138258958
EAX285902	8.6	-0.09241570378822672
EAX266602	10.8	0.03143351530837135
EAX275602	7.8	-0.07939657299393899
EAX020502	6.6	-0.13447576022290486
EAX273802	0.9	-0.2758305957380518
EAX273902	1.2	-0.18328758592023364
EAX029802	2.9	-0.2932975644102651
EAX291902	4.7	-0.1066798573058314
EAX281002	4.4	-0.0869218807636718
EAX266802	7.3	-0.08231709106859508
EAX020902	6.6	-0.06798623346010557
EAX002402	5.2	-0.05989405432303607
EAX030402	1.0	-0.15409809153423026
EAX026502	2.2	-0.04569664035180576
EAX065202	12.6	0.132241799750774
EAX024902	13.5	0.1360353378597028
EAX080402	13.0	0.14004537057480215
EAX030802	9.7	-0.1168150001817283
EAX292002	4.8	-0.1510590439730688
EAX019602	15.2	0.35274759432647507
EAX292402	16.3	0.3108505891713502
EAX050202	17.1	0.3207745429352995
EAX298802	8.8	0.028504467951043555
EAX273102	0.8	-0.09891118896940565
EAX015602	2.4	-0.07971848911873192
EAX281602	8.1	0.015553224224610807
EAX273402	1.5	0.006201247353253336
EAX010002	4.8	-0.11667715412462276
EAX277802	7.8	-0.16028386564713504
EAX293102	12.4	-0.14461539779905497
EAX255502	2.5	0.02205845273251761
EAX016602	3.8	-0.1621869469802557
EAX277002	5.7	-0.053355334051107484
EAX020402	9.2	-0.13985898745591996
EAX025802	15.9	0.23892574707634484
EAX025302	16.5	0.25054523688509445
EAX261002	12.1	0.42713326874490587
EAX012402	16.1	0.008428158977496492
EAX293802	4.9	-0.08214513084704045
EAX010202	10.5	0.002309119426260775
EAX272202	3.9	-0.06841479783772009
EAX294302	14.8	-0.05435911513656233
