spectrum	rt	pref_value
EAX260002	5.1	-0.10846922243190882
EAX030802	4.9	-0.11626943993410954
EAX030402	9.3	0.02220293001981055
EAX266602	5.2	-0.30667665936958954
EAX024902	7.4	-0.0005359873418677996
EAX253602	7.7	-0.04335558270554829
EAX016102	2.4	-0.011470400644428835
EAX266702	6.7	0.06716145182542821
EAX281602	4.4	-0.21612083758703005
EAX280402	5.8	-0.17107662859758754
EAX027902	5.7	-0.2377510023345355
EAX065402	12.8	0.013308095499389161
EAX033702	13.6	-0.04499854891740379
EAX029902	10.0	0.05445551996775411
EAX070102	9.6	0.027009785599370062
EAX273202	14.5	-0.02913006238212207
EAX272202	4.1	-0.30282305370609386
EAX018302	13.0	-0.03239125905318563
EAX273102	6.2	-0.026053097394449942
EAX025802	9.5	0.10553139015831148
EAX020502	7.0	-0.11790925180886802
EAX273802	4.4	-0.31797148679576814
EAX028902	8.3	0.07420833332000143
EAX067202	6.8	-0.04593680565653191
EAX015602	5.5	-0.24380504271505288
EAX291902	8.6	-0.04281909931685757
EAX029002	10.8	0.05445551996775411
EAX020802	11.5	0.06284831660647239
EAX008702	12.6	0.0960955826794958
EAX285202	1.2	-0.1926635036443649
EAX280502	6.0	-0.16607501935289815
EAX256602	3.5	-0.34503702545852555
EAX010302	2.9	-0.2758387137544158
EAX069702	3.8	-0.15801707644722193
EAX258302	4.7	-0.11326679606478862
EAX280802	6.6	-0.03488109954060836
EAX293302	5.2	-0.02250562742151263
EAX025702	1.0	-0.18294241132475797
EAX026102	11.2	-0.0993348780553962
EAX280202	6.8	-0.17914632690960497
EAX016702	1.0	-0.1386195123738272
EAX293802	2.2	-0.0021608271036797078
EAX066302	12.6	0.18580306736131458
EAX270902	13.5	0.18737970742557528
EAX260302	4.8	-0.16011942492044007
EAX008802	5.1	0.2110983215238016
EAX280902	7.3	0.3005892269082411
EAX298602	13.9	0.38927260431074195
EAX016602	16.3	0.3199872600685474
EAX271302	17.1	0.32194815363931717
EAX010002	13.6	0.2904522436234771
EAX271802	2.4	-0.14185147741285098
EAX271402	4.8	-0.07656521140424277
EAX032602	9.2	-0.21764648144728738
EAX255502	9.3	-0.16165724298583806
EAX285402	9.2	-0.15843012266639178
EAX261002	9.9	-0.07366041754907404
EAX020302	9.9	-0.0748554802917849
EAX020102	2.5	0.043432700733944785
EAX277002	3.8	-0.1570493010442071
EAX020402	5.7	-0.058494087063363676
EAX005802	15.9	0.250214857601323
EAX000402	4.9	-0.0976126005554594
EAX026602	10.5	-0.01900809347315846
EAX066802	5.3	-0.08472080708565066
