spectrum	rt	pref_value
EAX293502	8.3	0.014359673006340667
EAX024502	4.9	-0.16238710846022997
EAX080402	5.2	-0.2856195640695933
EAX270402	7.4	0.022374285676905026
EAX273402	7.5	0.07038793260240817
EAX273202	7.2	-0.1553039566429577
EAX020702	7.1	-0.17892008612528176
EAX010002	7.9	-0.10642198433265637
EAX255502	6.9	0.13866094615255786
EAX285402	4.4	-0.2164367479387046
EAX013002	12.8	0.025348167475391925
EAX271602	9.6	0.059456017272862205
EAX256602	12.9	-0.06118767874372155
EAX298802	14.5	-0.019524033444330957
EAX020802	6.3	-0.21845552430004478
EAX027502	3.6	-0.26379960464007013
EAX020102	13.0	-0.00036668695296349085
EAX292402	6.2	-0.10259139940067019
EAX274002	6.7	-0.08812341354013564
EAX025802	7.0	-0.09401927296847656
EAX281502	10.7	0.14721118814865797
EAX069702	7.0	0.08933738659648949
EAX271502	8.5	0.012613835760220127
EAX012802	4.6	-0.2765816530526646
EAX030802	10.8	0.1549736393623382
EAX008802	7.5	-0.19900194657577686
EAX029402	6.6	-0.1411079619915725
EAX026002	5.2	-0.40034319373319605
EAX253602	5.1	0.009896497145882699
EAX027002	6.0	-0.12710911957373727
EAX065902	6.2	0.010131124297944716
EAX012402	5.9	-0.12306376948591535
EAX010202	3.8	-0.12405140432702666
EAX273802	1.3	-0.16639827412657837
EAX271302	5.5	-0.11923809685079534
EAX280202	7.3	-0.08767732107429005
EAX016602	6.6	-0.009043998671474984
EAX292002	5.2	-0.010122444536122155
EAX005802	1.0	-0.1319352755596377
EAX070502	13.5	0.1496175309782884
EAX293802	9.7	-0.043506044308137426
EAX293902	11.9	0.06683975879970545
EAX002402	5.1	0.13688019583754718
EAX280902	9.3	0.24906599330855794
EAX271802	11.1	0.31652330649643456
EAX066502	12.6	0.3336400559912578
EAX020502	13.9	0.3467808041878815
EAX034002	16.3	0.3028024703291905
EAX280802	13.6	0.22830961383107073
EAX029802	16.1	0.2996132289311877
EAX065302	8.8	0.04663758910656046
EAX273302	2.4	-0.15819940915172204
EAX271702	10.8	-0.1620529390066845
EAX069802	4.8	-0.10514044274612777
EAX025702	9.2	-0.1657027348105129
EAX024802	9.9	-0.06261305560375274
EAX271002	9.9	-0.13110221211438633
EAX066302	9.0	-0.1348207003742068
EAX015002	5.7	-0.05144078994731727
EAX064402	16.5	0.23156038034875426
EAX266702	12.1	0.37107125302474486
EAX026602	10.9	0.10461326192052045
EAX277002	10.5	-0.035778075474758086
EAX272202	5.7	-0.13716324170913996
EAX066402	14.8	-0.04084564624943976
