spectrum	rt	pref_value
EAX029202	4.9	-0.14656136916258955
EAX281302	5.2	-0.30893878172279976
EAX256602	7.4	-0.021191866449323582
EAX298802	15.9	0.036668872189484114
EAX024702	7.2	-0.18290589657046752
EAX070502	7.1	-0.19122435441535401
EAX266602	7.1	-0.18216863750219314
EAX005802	6.6	-0.1022160458020629
EAX034002	2.4	-0.10295802102844931
EAX293902	4.4	-0.33713889610427117
EAX012902	5.7	-0.2888206749951854
EAX026602	2.8	-0.3385904467129217
EAX010002	10.0	0.046033660740173676
EAX277602	12.9	-0.06294481225840398
EAX050202	10.6	-0.037518495581641886
EAX298602	4.5	-0.291382947859117
EAX266902	7.5	-0.11276564583773663
EAX013602	6.2	-0.05910725083229984
EAX012802	7.5	-0.007133238987424129
EAX025802	6.7	-0.05661460902928761
EAX292402	9.5	0.04278328719257063
EAX065902	7.0	-0.12674354725907655
EAX285402	10.7	0.03394096112419076
EAX065302	8.3	-0.06368051326001911
EAX025902	6.8	-0.09313346256501909
EAX012402	8.9	-0.01906618863284759
EAX020702	6.3	-0.20703627693607185
EAX066802	12.6	0.0886375386297944
EAX294302	7.5	-0.1636790408583284
EAX008802	5.6	-0.17646262562874426
EAX020402	7.8	-0.03716478444661539
EAX028902	6.6	-0.17300319965087096
EAX026002	5.2	-0.4701558333758218
EAX029602	1.2	-0.2947445493527594
EAX011902	5.1	-0.04910087330572577
EAX033702	5.9	-0.12398830558401475
EAX016602	3.5	-0.3608967159261294
EAX285902	2.9	-0.20227145071408437
EAX292102	4.7	-0.108859214791027
EAX067202	5.5	-0.13958783006772313
EAX020902	5.5	-0.09660505329447977
EAX018302	5.9	-0.06779494628915117
EAX015602	1.0	-0.226062575506349
EAX277802	12.6	0.07503322866241358
EAX275602	12.5	0.07872319117546697
EAX070102	4.8	-0.11742182642589505
EAX277402	12.6	0.4119510503822692
EAX027002	16.1	0.3299940670760666
EAX029002	9.0	-0.09040505385213171
EAX280902	1.5	-0.018735266914011284
EAX274302	9.2	-0.06724577042090418
EAX018502	6.3	-0.13494223061121335
EAX271702	7.8	-0.16861912917720856
EAX026102	9.9	-0.12125709935162088
EAX034702	3.6	-0.037914917641282964
EAX285102	2.0	-0.11232933221925734
EAX065402	5.7	-0.06058620343646837
EAX253502	9.2	-0.1371676548464773
EAX064402	16.9	0.2753512306233272
EAX293302	12.1	0.41264683743805364
EAX273302	4.9	-0.07091285378393941
EAX025302	5.7	-0.10448008157125432
EAX066502	3.9	-0.056791565966918256
EAX270902	5.3	-0.09210962787307686
EAX070602	14.8	-0.08121251130998575
