C	inner_split	ndcg_ohc
1	0	0.6970780754704017
1	1	0.6910094290427377
1	2	0.7068148724535707
4	0	0.7037718198047411
4	1	0.687105728661813
4	2	0.7140833420466228
16	0	0.7033942311970388
16	1	0.6878799446055013
16	2	0.7140673478427259
32	0	0.7035237273274662
32	1	0.6808134420661107
32	2	0.7060832096190179
64	0	0.6945001604062987
64	1	0.6629916654862792
64	2	0.6880610195050784
128	0	0.687052732385185
128	1	0.6586439688875326
128	2	0.6671920970378741
256	0	0.6732120966486937
256	1	0.6190520105738699
256	2	0.6542238096625207
