C	inner_split	ndcg_ohc
1	0	0.6441203593660525
1	1	0.6951822833700965
1	2	0.7222693426596142
4	0	0.6471337173938867
4	1	0.6957576740337993
4	2	0.722278104051351
16	0	0.6539453546234594
16	1	0.6984392619669245
16	2	0.7259401612168753
32	0	0.6470517215451804
32	1	0.6849939424293614
32	2	0.7275089654655881
64	0	0.6488853124160703
64	1	0.6782072037537452
64	2	0.7071877072248597
128	0	0.6416748484518758
128	1	0.6598500092066031
128	2	0.7022017480151815
256	0	0.6162741595030508
256	1	0.624840936152512
256	2	0.6807579499652391
