C	inner_split	ndcg_ohc
1	0	0.7008720192405893
1	1	0.6890133906143197
1	2	0.7168569266431902
4	0	0.7033204094818194
4	1	0.6960886935289428
4	2	0.7264496472065403
16	0	0.7022866085908008
16	1	0.6918317612396977
16	2	0.735048903034299
32	0	0.6945016940986948
32	1	0.6858828536923325
32	2	0.7224240869052806
64	0	0.6775905958288041
64	1	0.6819463582670113
64	2	0.7182705704919705
128	0	0.6741718844327863
128	1	0.66599611514399
128	2	0.7064424417697593
256	0	0.6538179825629492
256	1	0.6346245910967229
256	2	0.6599575394006892
