C	inner_split	ndcg_ohc
1	0	0.7033882123919668
1	1	0.6768622622203858
1	2	0.7112908237664354
4	0	0.7042591251527665
4	1	0.6754844911631661
4	2	0.7125761029166063
16	0	0.7040110478887166
16	1	0.6664205371083145
16	2	0.7132966590457788
32	0	0.6953841982781206
32	1	0.6735228802016672
32	2	0.7194990235610231
64	0	0.6936307229530922
64	1	0.6687182277652586
64	2	0.7174882916719483
128	0	0.6955967925359046
128	1	0.6538732887371805
128	2	0.7005607848804463
256	0	0.6529903896031878
256	1	0.6386300246269374
256	2	0.6806619989802027
