C	inner_split	ndcg_ohc
1	0	0.6909693133060221
1	1	0.6916408803206879
1	2	0.7175851614027675
4	0	0.6904704409640531
4	1	0.6988960144086551
4	2	0.7200252011361172
16	0	0.6836412206133998
16	1	0.703650960988867
16	2	0.7028382357784166
32	0	0.6794560649070229
32	1	0.7025050513776707
32	2	0.7007391695128554
64	0	0.6730502461777904
64	1	0.688940629028138
64	2	0.6877866492506332
128	0	0.6681560898486162
128	1	0.6830999573322971
128	2	0.6622013614563229
256	0	0.6601461657375646
256	1	0.6661836200233445
256	2	0.6480466371688549
