k	top_acc_perc
1	9.333333333333334
2	18.666666666666668
3	22.666666666666664
4	29.333333333333332
5	30.666666666666664
6	36.0
7	42.66666666666667
8	42.66666666666667
9	45.33333333333333
10	48.0
11	50.66666666666667
12	50.66666666666667
13	50.66666666666667
14	50.66666666666667
15	50.66666666666667
16	50.66666666666667
17	53.333333333333336
18	53.333333333333336
19	54.666666666666664
20	57.333333333333336
21	57.333333333333336
22	57.333333333333336
23	58.666666666666664
24	58.666666666666664
25	58.666666666666664
26	61.33333333333333
27	61.33333333333333
28	61.33333333333333
29	61.33333333333333
30	62.66666666666667
31	64.0
32	64.0
33	65.33333333333333
34	65.33333333333333
35	65.33333333333333
36	65.33333333333333
37	65.33333333333333
38	65.33333333333333
39	66.66666666666666
40	66.66666666666666
41	66.66666666666666
42	66.66666666666666
43	66.66666666666666
44	66.66666666666666
45	66.66666666666666
46	66.66666666666666
47	66.66666666666666
48	68.0
49	68.0
50	69.33333333333334
