k	top_acc_perc
1	13.333333333333334
2	24.0
3	29.333333333333332
4	34.66666666666667
5	38.666666666666664
6	48.0
7	50.66666666666667
8	54.666666666666664
9	56.00000000000001
10	56.00000000000001
11	57.333333333333336
12	58.666666666666664
13	58.666666666666664
14	58.666666666666664
15	60.0
16	60.0
17	60.0
18	62.66666666666667
19	64.0
20	66.66666666666666
21	68.0
22	68.0
23	68.0
24	68.0
25	68.0
26	68.0
27	68.0
28	68.0
29	68.0
30	68.0
31	69.33333333333334
32	69.33333333333334
33	70.66666666666667
34	70.66666666666667
35	70.66666666666667
36	72.0
37	72.0
38	72.0
39	73.33333333333333
40	74.66666666666667
41	74.66666666666667
42	74.66666666666667
43	74.66666666666667
44	74.66666666666667
45	76.0
46	76.0
47	76.0
48	77.33333333333333
49	77.33333333333333
50	77.33333333333333
