C	inner_split	ndcg_ohc
1	0	0.6827922276685152
1	1	0.7068648130347583
1	2	0.6893258939084448
4	0	0.6858604670729322
4	1	0.7004321978798128
4	2	0.6935575943907949
16	0	0.6794383700191412
16	1	0.6939888053397499
16	2	0.6960948721737777
32	0	0.677535113548281
32	1	0.6856804063769119
32	2	0.6895375614465816
64	0	0.6663364233462253
64	1	0.6680428922986094
64	2	0.677767713053043
128	0	0.652527743720852
128	1	0.6245437803770947
128	2	0.6592816060532989
256	0	0.6196467871037209
256	1	0.6054831001408973
256	2	0.6301602231915314
