C	inner_split	ndcg_ohc
1	0	0.6792648176386625
1	1	0.7296040153674281
1	2	0.6691510230447512
4	0	0.6851065312468071
4	1	0.7242403241052718
4	2	0.6795589852966967
16	0	0.6917717485711623
16	1	0.7110544765990596
16	2	0.6850140697374855
32	0	0.6885581319761555
32	1	0.7078484720103324
32	2	0.6804444091868496
64	0	0.6671514200881723
64	1	0.6839904519123816
64	2	0.6699960938434765
128	0	0.6810214637815586
128	1	0.6566313172991899
128	2	0.6730301409578472
256	0	0.6234445751258775
256	1	0.6072043839143586
256	2	0.6383765191591416
