C	inner_split	ndcg_ohc
1	0	0.667833281130865
1	1	0.7028843165981059
1	2	0.7200644836963731
4	0	0.6839890863993328
4	1	0.7070593425912528
4	2	0.7261008310559665
16	0	0.6913999032797032
16	1	0.707605225891125
16	2	0.7265000085952105
32	0	0.678636340928044
32	1	0.7019862914419288
32	2	0.7210803416891173
64	0	0.663009512869213
64	1	0.6973224981556828
64	2	0.7075077624909673
128	0	0.645300576146127
128	1	0.6749514099204894
128	2	0.6979405677158284
256	0	0.6246203303000682
256	1	0.6413880952799169
256	2	0.6825560605450699
