C	inner_split	ndcg_ohc
1	0	0.6531509602411676
1	1	0.6825707626858865
1	2	0.7001869842312343
4	0	0.6600557968143141
4	1	0.6772096842589082
4	2	0.7035342082313134
16	0	0.6593122077490859
16	1	0.6814864085653038
16	2	0.7052173828912581
32	0	0.6594590817693815
32	1	0.6784548788379976
32	2	0.6922636065173342
64	0	0.6552530450903788
64	1	0.668407316180864
64	2	0.6756818634928113
128	0	0.6336531304317913
128	1	0.6393884026270192
128	2	0.6658286606568662
256	0	0.6225642689541327
256	1	0.6166580928501758
256	2	0.6337164024024224
