k	top_acc_perc
1	29.230769230769234
2	44.61538461538462
3	56.92307692307692
4	60.0
5	64.61538461538461
6	67.6923076923077
7	69.23076923076923
8	73.84615384615385
9	73.84615384615385
10	73.84615384615385
11	75.38461538461539
12	75.38461538461539
13	78.46153846153847
14	78.46153846153847
15	78.46153846153847
16	78.46153846153847
17	80.0
18	80.0
19	80.0
20	81.53846153846153
21	81.53846153846153
22	83.07692307692308
23	83.07692307692308
24	84.61538461538461
25	86.15384615384616
26	86.15384615384616
27	87.6923076923077
28	89.23076923076924
29	89.23076923076924
30	89.23076923076924
31	90.76923076923077
32	90.76923076923077
33	90.76923076923077
34	90.76923076923077
35	90.76923076923077
36	90.76923076923077
37	90.76923076923077
38	90.76923076923077
39	90.76923076923077
40	90.76923076923077
41	90.76923076923077
42	90.76923076923077
43	90.76923076923077
44	90.76923076923077
45	90.76923076923077
46	90.76923076923077
47	90.76923076923077
48	90.76923076923077
49	90.76923076923077
50	90.76923076923077
