C	inner_split	ndcg_ohc
1	0	0.6794656861607958
1	1	0.6993154648021671
1	2	0.6840978920625348
4	0	0.6866869832715822
4	1	0.7011798641958976
4	2	0.6974423951964962
16	0	0.6868063202625215
16	1	0.6960837938233098
16	2	0.707084706489876
32	0	0.6888242322073478
32	1	0.6804740759220377
32	2	0.7114202690622596
64	0	0.6860900431062116
64	1	0.6678922605123166
64	2	0.7082426127673269
128	0	0.6474316765345688
128	1	0.6322826456750301
128	2	0.6844548243546221
256	0	0.6166442161778847
256	1	0.5866022662884038
256	2	0.6591940916884352
