k	top_acc_perc
1	24.615384615384617
2	41.53846153846154
3	49.23076923076923
4	50.76923076923077
5	55.38461538461539
6	55.38461538461539
7	58.46153846153847
8	64.61538461538461
9	64.61538461538461
10	67.6923076923077
11	69.23076923076923
12	69.23076923076923
13	69.23076923076923
14	70.76923076923077
15	72.3076923076923
16	72.3076923076923
17	72.3076923076923
18	72.3076923076923
19	72.3076923076923
20	72.3076923076923
21	72.3076923076923
22	72.3076923076923
23	72.3076923076923
24	72.3076923076923
25	72.3076923076923
26	73.84615384615385
27	73.84615384615385
28	73.84615384615385
29	76.92307692307693
30	76.92307692307693
31	78.46153846153847
32	80.0
33	80.0
34	80.0
35	80.0
36	81.53846153846153
37	81.53846153846153
38	81.53846153846153
39	81.53846153846153
40	81.53846153846153
41	81.53846153846153
42	81.53846153846153
43	81.53846153846153
44	81.53846153846153
45	81.53846153846153
46	81.53846153846153
47	83.07692307692308
48	83.07692307692308
49	83.07692307692308
50	83.07692307692308
