C	inner_split	ndcg_ohc
1	0	0.7122489542403398
1	1	0.7151103256830215
1	2	0.7195266724404201
4	0	0.7141590650784425
4	1	0.7102687853528301
4	2	0.7246865392057474
16	0	0.7143085757094679
16	1	0.7101374460669051
16	2	0.726438749775638
32	0	0.7002674961610141
32	1	0.7054278172845226
32	2	0.7164892390700401
64	0	0.6810186213168532
64	1	0.6907833652648755
64	2	0.7183979470058623
128	0	0.6742038128602379
128	1	0.6706528485424936
128	2	0.7167959904127592
256	0	0.6189459892532909
256	1	0.6485115916186854
256	2	0.6904247733043006
