C	inner_split	ndcg_ohc
1	0	0.7005177508494309
1	1	0.7167318925558198
1	2	0.7287886081210436
4	0	0.7060771108526899
4	1	0.719330911270943
4	2	0.7268507280235341
16	0	0.7072435535242106
16	1	0.7193639972687353
16	2	0.7270942102110411
32	0	0.6985400397963838
32	1	0.7165865513008238
32	2	0.7285538842089314
64	0	0.6621211123886113
64	1	0.7060128639957347
64	2	0.7226370179249009
128	0	0.6763453439106012
128	1	0.6926302631697345
128	2	0.7247625728032558
256	0	0.6399062091068076
256	1	0.6763233829447496
256	2	0.6814660546633832
