C	inner_split	ndcg_ohc
1	0	0.6920478577629767
1	1	0.706560396054244
1	2	0.6401180666639876
4	0	0.698244316230879
4	1	0.7024092805046097
4	2	0.655098993675848
16	0	0.7040027170838434
16	1	0.6942613907239229
16	2	0.6641026460843997
32	0	0.7017020612839536
32	1	0.6792029587418026
32	2	0.6574618086685401
64	0	0.6940150697839395
64	1	0.6593706909812399
64	2	0.6540187824138383
128	0	0.6774365416657958
128	1	0.6500582942384834
128	2	0.6307593703711228
256	0	0.6539059184360977
256	1	0.6102501614553952
256	2	0.6084496378029695
