C	inner_split	ndcg_ohc
1	0	0.676621743258013
1	1	0.7249477525900144
1	2	0.6963202478647912
4	0	0.6824161081280675
4	1	0.7207787839110991
4	2	0.698212784504543
16	0	0.6806756068920216
16	1	0.7213743821823446
16	2	0.7071843812033257
32	0	0.6797518208891762
32	1	0.7078816909183056
32	2	0.7047164350540538
64	0	0.663009566981407
64	1	0.7076485560576428
64	2	0.6930084327034405
128	0	0.6518058716239081
128	1	0.6706200878460954
128	2	0.6921856849910012
256	0	0.5914855513129845
256	1	0.6515328212991572
256	2	0.6574304055845286
