C	inner_split	ndcg_ohc
1	0	0.6890305865942514
1	1	0.7005607894952104
1	2	0.6783891772942442
4	0	0.6991716518699966
4	1	0.7040191714094527
4	2	0.6841234309282689
16	0	0.6964711218497713
16	1	0.699546402878104
16	2	0.6798250041903211
32	0	0.6827466198929628
32	1	0.7047789841486457
32	2	0.6764641255685495
64	0	0.6702331221016319
64	1	0.7051511285162101
64	2	0.6379322392262957
128	0	0.6554424348897295
128	1	0.6848572377548142
128	2	0.6303803245784522
256	0	0.6266448954809176
256	1	0.6485084159157076
256	2	0.6160031598800652
