C	inner_split	ndcg_ohc
1	0	0.664713815765516
1	1	0.6889182703167498
1	2	0.6582839926099994
4	0	0.6758497103684545
4	1	0.7055911608315053
4	2	0.6632323254473952
16	0	0.6746929932742137
16	1	0.7015929124090265
16	2	0.6567101933468925
32	0	0.6848788605096856
32	1	0.7057005671548127
32	2	0.6548319668791981
64	0	0.6747747377374669
64	1	0.686998603537269
64	2	0.6438286319574364
128	0	0.6385920590559372
128	1	0.6745580564512005
128	2	0.6400463806110923
256	0	0.6173225810847129
256	1	0.641797209714389
256	2	0.6151717981865062
