C	inner_split	ndcg_ohc
1	0	0.6813149679620967
1	1	0.6699554651199068
1	2	0.6774485700224242
4	0	0.6862566840690587
4	1	0.678966389745775
4	2	0.6836874469017379
16	0	0.700786038943544
16	1	0.6772303985604032
16	2	0.6796754518167776
32	0	0.6908309120427418
32	1	0.6697772293808019
32	2	0.6927382742312941
64	0	0.6789132822806766
64	1	0.6617354717289741
64	2	0.6803302024886779
128	0	0.6235213962567765
128	1	0.6495336429018603
128	2	0.6663442192151521
256	0	0.617790929281758
256	1	0.6163243812783497
256	2	0.6393120920275687
