k	top_acc_perc
1	32.30769230769231
2	52.307692307692314
3	56.92307692307692
4	61.53846153846154
5	63.07692307692307
6	63.07692307692307
7	64.61538461538461
8	64.61538461538461
9	67.6923076923077
10	69.23076923076923
11	69.23076923076923
12	69.23076923076923
13	69.23076923076923
14	69.23076923076923
15	69.23076923076923
16	70.76923076923077
17	70.76923076923077
18	70.76923076923077
19	70.76923076923077
20	70.76923076923077
21	72.3076923076923
22	73.84615384615385
23	75.38461538461539
24	76.92307692307693
25	76.92307692307693
26	78.46153846153847
27	78.46153846153847
28	78.46153846153847
29	80.0
30	81.53846153846153
31	83.07692307692308
32	83.07692307692308
33	84.61538461538461
34	84.61538461538461
35	84.61538461538461
36	86.15384615384616
37	86.15384615384616
38	86.15384615384616
39	86.15384615384616
40	86.15384615384616
41	86.15384615384616
42	86.15384615384616
43	86.15384615384616
44	86.15384615384616
45	86.15384615384616
46	86.15384615384616
47	86.15384615384616
48	86.15384615384616
49	86.15384615384616
50	86.15384615384616
