k	top_acc_perc
1	35.38461538461539
2	50.76923076923077
3	55.38461538461539
4	61.53846153846154
5	61.53846153846154
6	63.07692307692307
7	63.07692307692307
8	67.6923076923077
9	72.3076923076923
10	73.84615384615385
11	75.38461538461539
12	75.38461538461539
13	75.38461538461539
14	75.38461538461539
15	76.92307692307693
16	76.92307692307693
17	80.0
18	81.53846153846153
19	83.07692307692308
20	84.61538461538461
21	84.61538461538461
22	84.61538461538461
23	84.61538461538461
24	84.61538461538461
25	86.15384615384616
26	86.15384615384616
27	86.15384615384616
28	86.15384615384616
29	86.15384615384616
30	86.15384615384616
31	86.15384615384616
32	87.6923076923077
33	87.6923076923077
34	87.6923076923077
35	87.6923076923077
36	87.6923076923077
37	89.23076923076924
38	89.23076923076924
39	89.23076923076924
40	89.23076923076924
41	89.23076923076924
42	89.23076923076924
43	89.23076923076924
44	89.23076923076924
45	89.23076923076924
46	89.23076923076924
47	89.23076923076924
48	89.23076923076924
49	89.23076923076924
50	89.23076923076924
