k	top_acc_perc
1	32.30769230769231
2	46.15384615384615
3	56.92307692307692
4	61.53846153846154
5	64.61538461538461
6	64.61538461538461
7	64.61538461538461
8	67.6923076923077
9	69.23076923076923
10	70.76923076923077
11	75.38461538461539
12	75.38461538461539
13	78.46153846153847
14	78.46153846153847
15	78.46153846153847
16	80.0
17	81.53846153846153
18	81.53846153846153
19	81.53846153846153
20	81.53846153846153
21	81.53846153846153
22	81.53846153846153
23	81.53846153846153
24	81.53846153846153
25	81.53846153846153
26	81.53846153846153
27	81.53846153846153
28	83.07692307692308
29	83.07692307692308
30	83.07692307692308
31	84.61538461538461
32	84.61538461538461
33	84.61538461538461
34	84.61538461538461
35	84.61538461538461
36	84.61538461538461
37	84.61538461538461
38	84.61538461538461
39	84.61538461538461
40	84.61538461538461
41	84.61538461538461
42	84.61538461538461
43	84.61538461538461
44	84.61538461538461
45	86.15384615384616
46	86.15384615384616
47	86.15384615384616
48	87.6923076923077
49	87.6923076923077
50	89.23076923076924
