sample_id	sequence_length	dataset	k	n_top_k	tree_index
0	54	EA_positive	1	19.85	0
0	54	EA_positive	5	43.50000000000001	0
0	54	EA_positive	10	47.000000000000014	0
0	54	EA_positive	20	52.000000000000014	0
0	54	EA_positive	1	25.75	1
0	54	EA_positive	5	44.0	1
0	54	EA_positive	10	49.0	1
0	54	EA_positive	20	53.0	1
0	54	EA_positive	1	24.75	2
0	54	EA_positive	5	42.75	2
0	54	EA_positive	10	47.0	2
0	54	EA_positive	20	53.0	2
0	54	EA_positive	1	23.75	3
0	54	EA_positive	5	43.0	3
0	54	EA_positive	10	47.0	3
0	54	EA_positive	20	52.0	3
0	54	EA_positive	1	23.75	4
0	54	EA_positive	5	41.0	4
0	54	EA_positive	10	45.0	4
0	54	EA_positive	20	53.0	4
0	54	EA_positive	1	24.5	5
0	54	EA_positive	5	40.0	5
0	54	EA_positive	10	45.0	5
0	54	EA_positive	20	51.0	5
0	54	EA_positive	1	25.75	6
0	54	EA_positive	5	43.0	6
0	54	EA_positive	10	46.5	6
0	54	EA_positive	20	51.0	6
0	54	EA_positive	1	23.25	7
0	54	EA_positive	5	40.0	7
0	54	EA_positive	10	46.0	7
0	54	EA_positive	20	51.0	7
0	54	EA_positive	1	23.25	8
0	54	EA_positive	5	45.0	8
0	54	EA_positive	10	48.0	8
0	54	EA_positive	20	52.0	8
0	54	EA_positive	1	27.0	9
0	54	EA_positive	5	46.0	9
0	54	EA_positive	10	48.0	9
0	54	EA_positive	20	53.0	9
0	54	EA_positive	1	21.75	10
0	54	EA_positive	5	44.0	10
0	54	EA_positive	10	47.0	10
0	54	EA_positive	20	51.0	10
0	54	EA_positive	1	26.6	11
0	54	EA_positive	5	43.50000000000001	11
0	54	EA_positive	10	47.000000000000014	11
0	54	EA_positive	20	52.000000000000014	11
0	54	EA_positive	1	20.5	12
0	54	EA_positive	5	43.75	12
0	54	EA_positive	10	46.0	12
0	54	EA_positive	20	51.0	12
0	54	EA_positive	1	23.6	13
0	54	EA_positive	5	42.00000000000001	13
0	54	EA_positive	10	47.000000000000014	13
0	54	EA_positive	20	52.000000000000014	13
0	54	EA_positive	1	24.75	14
0	54	EA_positive	5	43.75	14
0	54	EA_positive	10	48.0	14
0	54	EA_positive	20	54.0	14
0	54	EA_positive	1	24.75	15
0	54	EA_positive	5	42.0	15
0	54	EA_positive	10	47.0	15
0	54	EA_positive	20	50.0	15
0	54	EA_positive	1	23.85	16
0	54	EA_positive	5	42.50000000000001	16
0	54	EA_positive	10	46.000000000000014	16
0	54	EA_positive	20	52.000000000000014	16
0	54	EA_positive	1	24.75	17
0	54	EA_positive	5	42.5	17
0	54	EA_positive	10	46.0	17
0	54	EA_positive	20	51.0	17
0	54	EA_positive	1	23.75	18
0	54	EA_positive	5	40.0	18
