sample_id	sequence_length	dataset	k	n_top_k
0	54	EA_positive	1	26.75
0	54	EA_positive	5	40.0
0	54	EA_positive	10	46.0
0	54	EA_positive	20	49.0
1	41	positive	1	19.0
1	41	positive	5	24.0
1	41	positive	10	30.0
1	41	positive	20	36.0
2	72	EA_positive	1	30.5
2	72	EA_positive	5	52.5
2	72	EA_positive	10	61.0
2	72	EA_positive	20	66.0
3	47	EA_negative	1	22.5
3	47	EA_negative	5	39.5
3	47	EA_negative	10	42.0
3	47	EA_negative	20	46.00000000000001
4	41	positive	1	17.0
4	41	positive	5	24.0
4	41	positive	10	33.0
4	41	positive	20	37.0
5	68	EA_positive	1	34.0
5	68	EA_positive	5	50.5
5	68	EA_positive	10	60.0
5	68	EA_positive	20	65.0
6	47	EA_negative	1	23.0
6	47	EA_negative	5	39.5
6	47	EA_negative	10	43.0
6	47	EA_negative	20	46.0
7	54	EA_positive	1	19.75
7	54	EA_positive	5	38.5
7	54	EA_positive	10	46.0
7	54	EA_positive	20	50.0
8	47	EA_negative	1	23.5
8	47	EA_negative	5	40.5
8	47	EA_negative	10	41.0
8	47	EA_negative	20	46.00000000000001
9	70	EA_positive	1	28.5
9	70	EA_positive	5	53.5
9	70	EA_positive	10	61.0
9	70	EA_positive	20	65.0
10	55	EA_positive	1	24.25
10	55	EA_positive	5	39.0
10	55	EA_positive	10	46.0
10	55	EA_positive	20	49.0
11	51	EA_positive	1	23.25
11	51	EA_positive	5	40.5
11	51	EA_positive	10	46.0
11	51	EA_positive	20	50.0
12	47	EA_negative	1	21.0
12	47	EA_negative	5	38.5
12	47	EA_negative	10	43.0
12	47	EA_negative	20	45.0
13	53	EA_positive	1	23.0
13	53	EA_positive	5	39.5
13	53	EA_positive	10	44.0
13	53	EA_positive	20	48.0
14	74	EA_positive	1	28.75
14	74	EA_positive	5	54.5
14	74	EA_positive	10	64.0
14	74	EA_positive	20	70.0
15	73	EA_positive	1	31.75
15	73	EA_positive	5	59.0
15	73	EA_positive	10	61.0
15	73	EA_positive	20	67.0
16	53	EA_positive	1	21.75
16	53	EA_positive	5	45.0
16	53	EA_positive	10	49.0
16	53	EA_positive	20	51.0
17	25	negative	1	7.666666666666666
17	25	negative	5	19.083333333333332
17	25	negative	10	24.000000000000004
17	25	negative	20	24.000000000000004
18	63	EA_positive	1	27.0
18	63	EA_positive	5	47.0
18	63	EA_positive	10	51.0
18	63	EA_positive	20	58.0
19	47	EA_negative	1	22.0
19	47	EA_negative	5	39.5
19	47	EA_negative	10	43.0
19	47	EA_negative	20	45.0
20	25	negative	1	6.666666666666666
20	25	negative	5	19.416666666666664
20	25	negative	10	24.0
20	25	negative	20	24.0
21	72	EA_positive	1	35.75
21	72	EA_positive	5	59.0
21	72	EA_positive	10	63.0
21	72	EA_positive	20	67.0
22	41	positive	1	16.5
22	41	positive	5	24.0
22	41	positive	10	31.0
22	41	positive	20	39.0
23	65	EA_positive	1	26.75
23	65	EA_positive	5	44.5
23	65	EA_positive	10	53.0
23	65	EA_positive	20	61.0
24	25	negative	1	6.25
24	25	negative	5	18.916666666666664
24	25	negative	10	22.0
24	25	negative	20	24.0
25	66	EA_positive	1	26.0
25	66	EA_positive	5	51.0
25	66	EA_positive	10	57.0
25	66	EA_positive	20	59.0
26	62	EA_positive	1	33.5
26	62	EA_positive	5	47.5
26	62	EA_positive	10	53.0
26	62	EA_positive	20	59.0
27	41	positive	1	15.0
27	41	positive	5	24.0
27	41	positive	10	29.0
27	41	positive	20	38.0
28	41	positive	1	17.0
28	41	positive	5	23.0
28	41	positive	10	32.0
28	41	positive	20	37.0
29	71	EA_positive	1	32.5
29	71	EA_positive	5	55.0
29	71	EA_positive	10	61.0
29	71	EA_positive	20	69.0
30	54	EA_positive	1	25.5
30	54	EA_positive	5	41.0
30	54	EA_positive	10	44.0
30	54	EA_positive	20	51.0
31	47	EA_negative	1	22.5
31	47	EA_negative	5	40.5
31	47	EA_negative	10	41.0
31	47	EA_negative	20	46.00000000000001
32	41	positive	1	16.0
32	41	positive	5	23.0
32	41	positive	10	34.0
32	41	positive	20	37.0
33	60	EA_positive	1	28.25
33	60	EA_positive	5	53.0
33	60	EA_positive	10	55.0
33	60	EA_positive	20	58.0
34	41	positive	1	17.0
34	41	positive	5	24.0
34	41	positive	10	31.0
34	41	positive	20	38.0
35	60	EA_positive	1	30.5
35	60	EA_positive	5	46.5
35	60	EA_positive	10	53.0
35	60	EA_positive	20	56.0
36	47	EA_negative	1	22.0
36	47	EA_negative	5	39.5
36	47	EA_negative	10	43.0
36	47	EA_negative	20	45.0
37	72	EA_positive	1	35.75
37	72	EA_positive	5	55.0
37	72	EA_positive	10	63.0
37	72	EA_positive	20	69.0
38	41	positive	1	17.0
38	41	positive	5	25.0
38	41	positive	10	31.0
38	41	positive	20	38.0
39	41	positive	1	17.0
39	41	positive	5	24.0
39	41	positive	10	32.0
39	41	positive	20	37.0
40	54	EA_positive	1	21.75
40	54	EA_positive	5	41.0
40	54	EA_positive	10	44.0
40	54	EA_positive	20	51.0
41	25	negative	1	5.833333333333334
