C	inner_split	ndcg_ohc
1	0	0.7143290916879824
1	1	0.717469092539431
1	2	0.7334213744950395
4	0	0.7161066743889638
4	1	0.7207706555410713
4	2	0.7349916515705719
16	0	0.7195020025062425
16	1	0.7318743356379684
16	2	0.7432413692663187
32	0	0.7200078833555584
32	1	0.7261699665816939
32	2	0.7369842393684727
64	0	0.7198280297830676
64	1	0.7222776322578517
64	2	0.728006465625487
