k	top_acc_perc__casmi	top_acc_perc__csi
1	16.0	18.166666666666668
2	22.0	26.166666666666664
3	28.000000000000004	29.5
4	36.0	35.166666666666664
5	38.0	39.86666666666667
6	48.0	48.06666666666666
7	50.0	50.59999999999999
8	54.0	54.46666666666666
9	56.00000000000001	56.99999999999999
10	57.99999999999999	57.199999999999996
11	57.99999999999999	58.91515151515151
12	60.0	60.63030303030303
13	60.0	61.345454545454544
14	62.0	62.06060606060607
15	64.0	64.57575757575758
16	68.0	67.0909090909091
17	68.0	68.77272727272728
18	70.0	70.70454545454547
19	72.0	71.63636363636365
20	72.0	73.2348484848485
21	74.0	74.33333333333334
22	76.0	75.25000000000001
23	78.0	77.50000000000001
24	78.0	77.75000000000001
25	78.0	78.00000000000001
26	78.0	78.22222222222224
27	78.0	78.44444444444447
28	78.0	79.6666666666667
29	80.0	80.88888888888893
30	82.0	81.11111111111116
31	82.0	81.33333333333339
32	82.0	81.55555555555561
33	82.0	81.77777777777784
34	82.0	82.00000000000007
35	82.0	82.00000000000007
36	82.0	82.00000000000007
37	84.0	85.00000000000007
38	86.0	86.00000000000007
39	86.0	86.00000000000007
40	86.0	86.00000000000007
41	86.0	86.00000000000007
42	86.0	86.00000000000007
43	86.0	86.00000000000007
44	86.0	86.00000000000007
45	86.0	86.00000000000007
46	86.0	86.00000000000007
47	86.0	86.00000000000007
48	86.0	87.00000000000007
49	88.0	88.00000000000007
50	88.0	88.00000000000007
