C	inner_split	ndcg_ohc
1	0	0.717128332296872
1	1	0.6880671487575484
1	2	0.6704654081701128
4	0	0.728861284896685
4	1	0.6941738901505482
4	2	0.674330419258217
16	0	0.7264273282732386
16	1	0.6848342876787848
16	2	0.6653008120729151
32	0	0.7327515605077568
32	1	0.6924374318098622
32	2	0.6565305703948092
64	0	0.7187994420112163
64	1	0.6843663246575246
64	2	0.651460103976033
128	0	0.683437716485437
128	1	0.6683743543043292
128	2	0.6458688981385222
256	0	0.6724652499510099
256	1	0.6341806733456203
256	2	0.6174540760234395
