C	inner_split	ndcg_ohc
1	0	0.7658646229028128
1	1	0.7086035722148288
1	2	0.6843903298390228
4	0	0.762561906907314
4	1	0.7045975835673682
4	2	0.6816346714290417
16	0	0.75745125519288
16	1	0.7215843140489693
16	2	0.6833762125569597
32	0	0.7302514477059621
32	1	0.7118108358314693
32	2	0.6748761596153978
64	0	0.7187777524978742
64	1	0.7014888695711365
64	2	0.663439010548318
128	0	0.7059955867563259
128	1	0.6767129601411563
128	2	0.6481603188468925
256	0	0.6440193690804158
256	1	0.6329300661614387
256	2	0.6229520144243116
