C	inner_split	ndcg_ohc
1	0	0.6679768477053984
1	1	0.6686287100576889
1	2	0.6110782108811122
4	0	0.6707266474848385
4	1	0.6819301808135387
4	2	0.6243106229324413
16	0	0.6723193660400693
16	1	0.6824031371985186
16	2	0.6294272565787014
32	0	0.6712289359351056
32	1	0.6720392209546501
32	2	0.631770809477853
64	0	0.6531321429958389
64	1	0.6731364971816424
64	2	0.6270949814038261
128	0	0.650069202073737
128	1	0.6473397073821713
128	2	0.6254788997398077
256	0	0.6236591405067797
256	1	0.6333817020218264
256	2	0.612648978055932
