C	inner_split	ndcg_ohc
1	0	0.6448211387877606
1	1	0.697032020682376
1	2	0.685337234926747
4	0	0.6534114817332555
4	1	0.7013694054787362
4	2	0.692436039565013
16	0	0.6518740188544119
16	1	0.7066675850117575
16	2	0.70169137457418
32	0	0.6632216370253519
32	1	0.6999905148385305
32	2	0.7084536514912406
64	0	0.645400165099845
64	1	0.6870576931535898
64	2	0.6902228065156567
128	0	0.6192309588829682
128	1	0.6559809977796962
128	2	0.6739072341236341
256	0	0.5908882789337525
256	1	0.6051280334844938
256	2	0.656938629613226
