C	inner_split	ndcg_ohc
1	0	0.7128481210324361
1	1	0.6967568385196907
1	2	0.6662980721960022
4	0	0.7158284446887436
4	1	0.6959464003846572
4	2	0.673657853013012
16	0	0.7209648704611329
16	1	0.6881833447606743
16	2	0.6762862391156105
32	0	0.7238935161179436
32	1	0.6873001948741322
32	2	0.6655397686209403
64	0	0.7188462191845867
64	1	0.6731747894895243
64	2	0.6723865851602432
128	0	0.6931205659919495
128	1	0.6345491967237564
128	2	0.659843700604515
256	0	0.6582908897645947
256	1	0.593476660705312
256	2	0.6349361534933192
