k	top_acc_perc
1	28.000000000000004
2	48.0
3	54.0
4	56.00000000000001
5	57.99999999999999
6	61.0
7	66.0
8	69.0
9	71.0
10	74.0
11	74.0
12	74.0
13	74.0
14	74.0
15	75.0
16	75.0
17	75.0
18	75.0
19	75.0
20	75.0
21	75.0
22	76.0
23	76.0
24	76.0
25	76.0
26	77.0
27	77.0
28	77.0
29	77.0
30	77.0
31	78.0
32	81.0
33	81.0
34	81.0
35	81.0
36	81.0
37	82.0
38	83.0
39	83.0
40	83.0
41	83.0
42	83.0
43	84.0
44	84.0
45	84.0
46	84.0
47	85.0
48	85.0
49	86.0
50	86.0
