C	inner_split	ndcg_ohc
1	0	0.6864840865146091
1	1	0.686769239337492
1	2	0.6797889250392795
4	0	0.6886655406748544
4	1	0.7028057886300071
4	2	0.6774498512019348
16	0	0.6908897804361266
16	1	0.7081105982666095
16	2	0.6772578795036985
32	0	0.683693596515858
32	1	0.7044611711378815
32	2	0.6881054675589275
64	0	0.6750269999234275
64	1	0.6862919161079991
64	2	0.681560270000711
128	0	0.6669294432783414
128	1	0.6945375189608253
128	2	0.6497737701954864
256	0	0.6314416597692506
256	1	0.6403095703326908
256	2	0.623393502660259
