C	inner_split	ndcg_ohc
1	0	0.6889081831121439
1	1	0.6908551123043336
1	2	0.6611495632278303
4	0	0.6885007451398512
4	1	0.6971494906912702
4	2	0.6675732131449125
16	0	0.6938337733323207
16	1	0.7042764646071695
16	2	0.6735642964666404
32	0	0.6914432475829588
32	1	0.6936616605049334
32	2	0.6826128156912089
64	0	0.6916695392940426
64	1	0.6766761083577417
64	2	0.6807721949792482
128	0	0.6858830759291819
128	1	0.6386229070521229
128	2	0.6660298447456131
256	0	0.6143305748433917
256	1	0.5986838326789226
256	2	0.6432041087474691
