C	inner_split	ndcg_ohc
1	0	0.6385114274757003
1	1	0.6407314101578125
1	2	0.7132960422290693
4	0	0.6456704354445137
4	1	0.6456183094639798
4	2	0.72949602830654
16	0	0.6479777426529665
16	1	0.6547851651094291
16	2	0.7164283866148874
32	0	0.6397011689530796
32	1	0.6529922841755806
32	2	0.7143045577560734
64	0	0.6229200215245443
64	1	0.6462227495714716
64	2	0.7085477742156782
128	0	0.6268788600596916
128	1	0.6191327713547543
128	2	0.6758769975404649
256	0	0.5516305067405799
256	1	0.5898859325585701
256	2	0.6566492792020713
