C	inner_split	ndcg_ohc
1	0	0.678201797126804
1	1	0.7058021434819819
1	2	0.6794144125175616
4	0	0.6910867371266237
4	1	0.7143915983422254
4	2	0.6752646601940965
16	0	0.6897717777392312
16	1	0.7089798872928382
16	2	0.6736211849495792
32	0	0.682522637672214
32	1	0.7001328925462074
32	2	0.6653473794663461
64	0	0.6748519293848418
64	1	0.6923637341033537
64	2	0.6641244582126871
128	0	0.6404840164988355
128	1	0.6653454206568136
128	2	0.6516025762351702
256	0	0.6136074238913334
256	1	0.654592517120572
256	2	0.6439294103843854
