C	inner_split	ndcg_ohc
1	0	0.6873097842489816
1	1	0.6459995527046747
1	2	0.6761635063618422
4	0	0.6946460556819389
4	1	0.6446711958865006
4	2	0.6887930629944967
16	0	0.7131991547804917
16	1	0.6458276076091507
16	2	0.6890219226006895
32	0	0.7161471948591962
32	1	0.6324883046388963
32	2	0.6881829712367543
64	0	0.7036935721361974
64	1	0.6260825673776534
64	2	0.6768904136810222
128	0	0.6928383604623783
128	1	0.5827450942671988
128	2	0.6645589414905771
256	0	0.6729060525575772
256	1	0.5448598078675023
256	2	0.6462677338077176
