C	inner_split	ndcg_ohc
1	0	0.6609966534845994
1	1	0.6699706836276316
1	2	0.6629862454245323
4	0	0.6655718946909089
4	1	0.6812737511879204
4	2	0.662062999913749
16	0	0.6659619118811813
16	1	0.6755142832893932
16	2	0.6675754769801896
32	0	0.6762259988591565
32	1	0.6657795755377283
32	2	0.663910761273872
64	0	0.6655780876659361
64	1	0.6679434709487748
64	2	0.6513972302260298
128	0	0.6511646994904233
128	1	0.6258458752769848
128	2	0.6240621868781717
256	0	0.613262122438198
256	1	0.6141311898465703
256	2	0.6080503044903036
