k	top_acc_perc__casmi	top_acc_perc__csi
1	20.0	21.583333333333336
2	38.0	39.66666666666667
3	50.0	49.75
4	56.00000000000001	56.99999999999999
5	62.0	62.5
6	65.0	65.0
7	67.0	67.16666666666667
8	67.0	67.83333333333334
9	68.0	69.00000000000001
10	71.0	70.66666666666669
11	71.0	70.83333333333336
12	71.0	71.00000000000003
13	71.0	71.00000000000003
14	71.0	71.00000000000003
15	72.0	72.33333333333336
16	73.0	73.36666666666669
17	75.0	75.40000000000002
18	76.0	75.72500000000002
19	77.0	77.05000000000003
20	77.0	77.87500000000003
21	78.0	78.50000000000003
22	80.0	79.62500000000003
23	80.0	79.75000000000003
24	82.0	81.87500000000003
25	82.0	82.00000000000003
26	82.0	82.00000000000003
27	82.0	82.00000000000003
28	82.0	82.00000000000003
29	83.0	83.00000000000003
30	83.0	83.00000000000003
31	84.0	84.14285714285717
32	84.0	84.2857142857143
33	84.0	84.42857142857144
34	85.0	84.57142857142858
35	85.0	84.71428571428572
36	85.0	84.85714285714286
37	85.0	85.0
38	85.0	85.5
39	87.0	87.0
40	87.0	87.0
41	87.0	87.0
42	87.0	87.0
43	87.0	87.0
44	87.0	87.0
45	87.0	87.0
46	87.0	87.0
47	87.0	87.0
48	87.0	87.0
49	87.0	87.0
50	87.0	87.0
